Location,State,Population,Families,Latitude,Longitude,Date Collected
Colquitt Co.,GA,CO-GA,33,31.141031,-83.723125,Oct 6 2016
Dooly Co. ,GA,DO-GA,30,32.106095,-83.777492,Oct 6 2016
Macon Co.,GA,MA-GA,30,34.423982,-84.129029,Sept 2 2016
Worth Co.,GA,WO-GA,30,31.3032,-83.3932,Sept 1 2016
Champaign Co.,IL,CH-IL,31,40.074505,-88.246533,Sept 29 2016
Effingham Co.,IL,EF-IL,31,39.228864,-88.525873,Sept 28 2016
Gallatin Co.,IL,GL-IL,31,37.629676,-88.166345,Sept 28 2016
Henry Co.,IL,HE-IL,21,41.447092,-90.141592,Oct 2 2016
Madison Co.,IL,MD-IL,10,38.691638,-90.021769,Oct 3 2016
Mclean Co. (ISU),IL,ISU-IL,2,40.668441,-88.776361,Oct 3 2016
Clayton,NC,CL-NC,29,35.674307,-78.512462,Sept 6 2016
Johnston Co.,NC,JO-NC,30,35.674307,-78.512462,Sept 6 2016
Linwood,NC,LI-NC,13,35.726837,-80.313716,Sept 14 2016
Lumber Bridge,NC,LB-NC,24,34.897865,-79.047614,Sept 13 2016
Martin Co. ,NC,MR-NC,12,35.979622,-78.362871,Sept 7 2016
Onslow Co.,NC,ON-NC,30,34.90157,-77.607704,Oct 11 2016
Pine Hill,NC,PH-NC,15,36.360356,-80.57341,Sept 14 2016
Randolph Co.,NC,RA-NC,30,35.55501,-80.013807,Oct 12 2016
Tarboro,NC,TA-NC,34,35.887358,-77.443634,Sept 7 2016
UCPRS,NC,UC-NC,12,35.897903,-77.672789,Sept 7 2016
Wake Co.,NC,WA-NC,19,35.781702,-78.352149,Sept 6 2016
Wayne Co.,NC,WN-NC,28,35.310539,-78.078181,Oct 10 2016
Wilson Co.,NC,WL-NC,29,35.60278,-78.071049,Oct 10 2016